pais,tipo_energia,total_gerado,unidade
Iran (Islamic Republic of),Coal,14.540000000000001,TWh
Haiti,Other Fossil,14.49,TWh
Malta,Gas,14.399999999999999,TWh
Cayman Islands (the),Other Fossil,14.389999999999999,TWh
Lithuania,Other Fossil,14.17,TWh
Zambia,Coal,12.89,TWh
Tajikistan,Coal,12.67,TWh
Norway,Other Fossil,12.19,TWh
Kyrgyzstan,Gas,11.899999999999997,TWh
Maldives,Other Fossil,11.439999999999998,TWh
Equatorial Guinea,Gas,11.42,TWh
Slovenia,Gas,11.299999999999999,TWh
Tunisia,Other Fossil,11.190000000000001,TWh
Guinea,Other Fossil,11.17,TWh
Bulgaria,Other Fossil,10.979999999999999,TWh
North Macedonia,Gas,10.629999999999999,TWh
Panama,Gas,10.629999999999999,TWh
"Palestine, State of",Other Fossil,10.11,TWh
Jamaica,Gas,10.01,TWh
South Africa,Gas,9.950000000000001,TWh
French Polynesia,Other Fossil,9.660000000000002,TWh
Seychelles,Other Fossil,9.39,TWh
Costa Rica,Other Fossil,9.1,TWh
Fiji,Other Fossil,9.0,TWh
"Tanzania, the United Republic of",Other Fossil,8.959999999999997,TWh
Guadeloupe,Coal,8.450000000000001,TWh
Angola,Gas,8.41,TWh
Saint Lucia,Other Fossil,8.22,TWh
Gabon,Other Fossil,8.04,TWh
Somalia,Other Fossil,7.6999999999999975,TWh
Panama,Coal,7.65,TWh
Eritrea,Other Fossil,7.229999999999999,TWh
French Guiana,Other Fossil,7.219999999999999,TWh
Antigua and Barbuda,Other Fossil,7.079999999999999,TWh
Gambia (the),Other Fossil,6.909999999999998,TWh
Singapore,Coal,6.690000000000001,TWh
Cabo Verde,Other Fossil,6.6499999999999995,TWh
South Sudan,Other Fossil,6.28,TWh
Liberia,Other Fossil,6.219999999999999,TWh
Uganda,Other Fossil,6.1000000000000005,TWh
Estonia,Gas,5.969999999999998,TWh
Timor-Leste,Other Fossil,5.84,TWh
Brunei Darussalam,Coal,5.37,TWh
Djibouti,Other Fossil,5.289999999999998,TWh
Mongolia,Other Fossil,5.279999999999999,TWh
Hong Kong,Other Fossil,5.26,TWh
Niger (the),Other Fossil,5.03,TWh
Chad,Other Fossil,5.01,TWh
Turks and Caicos Islands (the),Other Fossil,4.739999999999999,TWh
Serbia,Other Fossil,4.72,TWh
Saint Kitts and Nevis,Other Fossil,4.640000000000001,TWh
Niger (the),Coal,4.54,TWh
Grenada,Other Fossil,4.440000000000001,TWh
North Macedonia,Other Fossil,4.369999999999998,TWh
Tajikistan,Gas,4.2700000000000005,TWh
Macao,Gas,4.25,TWh
Virgin Islands (British),Other Fossil,4.120000000000001,TWh
American Samoa,Other Fossil,4.11,TWh
Faroe Islands (the),Other Fossil,4.03,TWh
Benin,Gas,3.88,TWh
United Arab Emirates,Coal,3.7399999999999998,TWh
Benin,Other Fossil,3.710000000000001,TWh
Zambia,Other Fossil,3.7,TWh
Senegal,Coal,3.6599999999999993,TWh
Rwanda,Other Fossil,3.5700000000000003,TWh
Togo,Gas,3.4899999999999998,TWh
Togo,Other Fossil,3.419999999999999,TWh
Gibraltar,Other Fossil,3.3800000000000003,TWh
Bolivia,Other Fossil,2.8299999999999996,TWh
Malawi,Other Fossil,2.76,TWh
Saint Vincent and the Grenadines,Other Fossil,2.7599999999999993,TWh
Madagascar,Coal,2.7299999999999995,TWh
Myanmar,Other Fossil,2.72,TWh
Greenland,Other Fossil,2.64,TWh
Afghanistan,Other Fossil,2.450000000000001,TWh
Dominica,Other Fossil,2.41,TWh
Mozambique,Other Fossil,2.2399999999999998,TWh
Cote d'Ivoire,Other Fossil,2.09,TWh
Solomon Islands,Other Fossil,1.9800000000000006,TWh
Kyrgyzstan,Other Fossil,1.9300000000000006,TWh
Samoa,Other Fossil,1.8700000000000006,TWh
Afghanistan,Coal,1.8500000000000003,TWh
Congo (the),Other Fossil,1.8299999999999998,TWh
